Barcode,Title,Author,Cover URL
GR/2657,To Kill a Mockingbird,Harper Lee,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg
GR/5470,1984,George Orwell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348990566i/5470._SY75_.jpg
GR/33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33._SX50_.jpg
GR/5107,The Catcher in the Rye,J.D. Salinger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg
GR/4671,The Great Gatsby,F. Scott Fitzgerald,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671._SY75_.jpg
GR/100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg
GR/7624,Lord of the Flies,William Golding,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg
GR/7613,Animal Farm,George Orwell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424037542i/7613._SY75_.jpg
GR/168668,"Catch-22 (Catch-22, #1)",Joseph Heller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668._SY75_.jpg
GR/4395,The Grapes of Wrath,John Steinbeck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302892i/4395._SY75_.jpg
GR/18405,Gone with the Wind,Margaret Mitchell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg
GR/4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981._SY75_.jpg
GR/7604,Lolita,Vladimir Nabokov,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604._SY75_.jpg
GR/332613,One Flew Over the Cuckoo's Nest,Ken Kesey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613._SX50_.jpg
GR/227463,A Clockwork Orange,Anthony Burgess,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348339306i/227463._SY75_.jpg
GR/37732,"Are You There God? It's Me, Margaret",Judy Blume (Goodreads Author),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388356524i/37732._SY75_.jpg
GR/6867,Atonement,Ian McEwan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867._SY75_.jpg
GR/472331,Watchmen,Alan Moore (Goodreads Author),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331._SY75_.jpg
GR/6334,Never Let Me Go,Kazuo Ishiguro,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590i/6334._SY75_.jpg
GR/37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352082529i/37781._SY75_.jpg
GR/16981,Invisible Man,Ralph Ellison,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556482805i/16981._SY75_.jpg
GR/14942,Mrs. Dalloway,Virginia Woolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479336522i/14942._SY75_.jpg
GR/6149,Beloved,Toni Morrison,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347984578i/6149._SY75_.jpg
GR/70401,On the Road,Jack Kerouac,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413588576i/70401._SX50_.jpg
GR/3876,The Sun Also Rises,Ernest Hemingway,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509802323i/3876._SY75_.jpg
GR/41219,Possession,A.S. Byatt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391124124i/41219._SY75_.jpg
GR/2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371584712i/2052._SY75_.jpg
GR/45195,A Passage to India,E.M. Forster,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421883612i/45195._SY75_.jpg
GR/18765,"I, Claudius (Claudius, #1)",Robert Graves,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388185810i/18765._SY75_.jpg
GR/37415,Their Eyes Were Watching God,Zora Neale Hurston,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415._SY75_.jpg
GR/10975,The Sound and the Fury,William Faulkner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433089995i/10975._SY75_.jpg
GR/5527,All the King's Men,Robert Penn Warren,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342193852i/5527._SY75_.jpg
GR/78433,The Blind Assassin,Margaret Atwood (Goodreads Author),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445426i/78433._SY75_.jpg
GR/15622,Native Son,Richard Wright,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440820866i/15622._SY75_.jpg
GR/59716,To the Lighthouse,Virginia Woolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346239665i/59716._SY75_.jpg
GR/175675,Ragtime,E.L. Doctorow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320531790i/175675._SY75_.jpg
GR/56034,The French Lieutenant's Woman,John Fowles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466630905i/56034._SY75_.jpg
GR/10979,Light in August,William Faulkner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355360091i/10979._SY75_.jpg
GR/7437,Naked Lunch,William S. Burroughs,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407330990i/7437._SY75_.jpg
GR/19494,The Spy Who Came In from the Cold,John le Carré,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327719782i/19494._SY75_.jpg
GR/37380,The Heart Is a Lonely Hunter,Carson McCullers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385265834i/37380._SY75_.jpg
GR/394535,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453995760i/394535._SY75_.jpg
GR/11762,White Noise,Don DeLillo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521562981i/11762._SY75_.jpg
GR/6759,Infinite Jest,David Foster Wallace,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446876799i/6759._SY75_.jpg
GR/30933,Brideshead Revisited,Evelyn Waugh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438579340i/30933._SY75_.jpg
GR/830,Snow Crash,Neal Stephenson (Goodreads Author),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477624625i/830._SY75_.jpg
GR/48328,Revolutionary Road,Richard Yates,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353721885i/48328._SY75_.jpg
GR/14836,Midnight's Children,Salman Rushdie,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371063511i/14836._SY75_.jpg
GR/517188,The Prime of Miss Jean Brodie,Muriel Spark,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379598918i/517188._SY75_.jpg
GR/545951,Death Comes for the Archbishop,Willa Cather,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436632846i/545951._SY75_.jpg
GR/92508,The Bridge of San Luis Rey,Thornton Wilder,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348937011i/92508._SY75_.jpg
GR/11650,"American Pastoral (The American Trilogy, #1)",Philip Roth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504801263i/11650._SY75_.jpg
GR/3690,The Power and the Glory,Graham Greene,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388210459i/3690._SY75_.jpg
GR/2794,The Crying of Lot 49,Thomas Pynchon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375727632i/2794._SY75_.jpg
GR/43945,Portnoy's Complaint,Philip Roth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327929440i/43945._SY75_.jpg
GR/44597,Wide Sargasso Sea,Jean Rhys,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327870846i/44597._SY75_.jpg
GR/22328,"Neuromancer (Sprawl, #1)",William Gibson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1167348726i/22328._SY75_.jpg
GR/3805,The Corrections,Jonathan Franzen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355011305i/3805._SY75_.jpg
GR/415,Gravity's Rainbow,Thomas Pynchon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414969925i/415._SY75_.jpg
GR/30005,Red Harvest,Dashiell Hammett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320423692i/30005._SY75_.jpg
GR/3711,White Teeth,Zadie Smith,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374739885i/3711._SY75_.jpg
GR/31072,Under the Volcano,Malcolm Lowry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390014193i/31072._SY75_.jpg
GR/18452,The Painted Bird,Jerzy Kosiński,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348130740i/18452._SY75_.jpg
GR/17143,Go Tell It on the Mountain,James Baldwin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348424233i/17143._SY75_.jpg
GR/5849,A House for Mr Biswas,V.S. Naipaul,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564755127i/5849._SY75_.jpg
GR/428,Play It As It Lays,Joan Didion,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551156887i/428._SY75_.jpg
GR/395182,Lucky Jim,Kingsley Amis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373459729i/395182._SY75_.jpg
GR/22590,Ubik,Philip K. Dick,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327995569i/22590._SY75_.jpg
GR/85386,"Rabbit, Run (Rabbit Angstrom #1)",John Updike,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578676i/85386._SX50_.jpg
GR/24100,The Golden Notebook,Doris Lessing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367457541i/24100._SY75_.jpg
GR/3692,The Heart of the Matter,Graham Greene,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385263150i/3692._SY75_.jpg
GR/7805,Pale Fire,Vladimir Nabokov,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388155863i/7805._SY75_.jpg
